ID,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime
7503961,10,65,51,F,M,Midlands,Midlands,Tin,0.01,7
3209120,13,62,32,D,M,North,N East,Tin,0.01,5
1783896,9,51,52,F,F,Midlands,Midlands,Silver,300,11
9060334,16,37,18,C,F,South East,London,Tin,0.01,4
3571171,8,54,28,D,M,Midlands,Midlands,Silver,1420,1
2211140,5,70,15,B,F,Midlands,Midlands,Gold,6104.66,8
7864383,NA,42,19,C,F,Midlands,East,Tin,0.01,5
3980819,7,75,12,B,M,Midlands,East,Silver,4000,7
1246652,NA,66,28,D,M,South East,London,Tin,0.01,11
1876858,9,68,8,B,F,South West,S West,Gold,6053.25,5
7761842,8,58,24,C,F,North,N West,Gold,10053.35,7
4360741,8,71,37,E,M,Midlands,East,Silver,1000,6
9675002,6,53,32,D,NA,Midlands,Midlands,Tin,0.01,5
2637029,7,55,NA,NA,M,Midlands,Ulster,Silver,2000,1
7139345,5,56,1,A,U,North,N West,Silver,3000,8
5548576,9,50,27,D,F,North,N East,Gold,20000,4
5312501,7,78,37,E,F,Midlands,Midlands,Silver,2000,24
8613446,9,48,19,C,M,Midlands,East,Silver,3000,2
1420781,9,60,25,C,F,South East,London,Tin,0.01,8
8604248,9,35,53,F,F,South East,London,Tin,0.01,4
6530957,7,50,10,B,M,North,Yorkshire,Silver,5000,10
7699556,9,60,16,C,M,Midlands,East,Gold,8100,5
7021559,8,52,22,C,F,North,N West,Silver,2500,6
3287501,4,60,37,E,F,North,N West,Tin,0.01,8
5220845,7,58,4,A,U,South East,London,Silver,2500,5
9333982,7,42,32,D,M,North,N West,Tin,0.01,4
464666,6,NA,41,E,F,South East,London,Gold,5500,1
6148543,4,57,31,D,F,South East,London,Tin,0.01,5
6575277,6,45,34,D,F,North,N West,Tin,0.01,5
3726444,14,NA,19,C,F,South East,S & S East,Gold,10000,8
5884719,15,61,12,B,NA,South East,S & S East,Silver,500,2
3122341,5,56,34,D,F,Midlands,Midlands,Tin,0.01,9
5392721,15,37,49,F,F,Midlands,Midlands,Tin,0.01,8
2817661,7,NA,34,D,F,South East,S & S East,Tin,0.01,8
5282216,5,62,27,D,F,North,N West,Platinum,56053.35,7
5584101,7,62,12,B,F,South East,S & S East,Gold,12808.95,11
982193,14,74,4,A,U,South East,S & S East,Platinum,20245.89,3
1087886,5,51,23,C,M,Scottish,C Scotland,Silver,420,8
5816670,8,63,49,F,F,Midlands,Wales & West,Gold,6000,2
6748672,11,40,32,D,F,Midlands,Midlands,Tin,0.01,5
4827107,4,46,45,E,F,Midlands,Wales & West,Silver,2165.75,11
1459011,6,45,52,F,M,South East,London,Tin,0.01,5
7511126,9,58,44,E,F,South East,London,Silver,1500,19
9609369,9,58,27,D,F,South East,S & S East,Silver,3000,9
7579122,8,56,27,D,F,Midlands,Midlands,Tin,0.01,8
9603666,9,64,37,E,M,Midlands,Midlands,Silver,1000,12
941159,3,NA,16,C,F,North,N West,Silver,5000,4
6773561,8,47,NA,NA,F,Midlands,Midlands,Tin,0.01,5
8920996,18,51,11,B,F,Midlands,Wales & West,Silver,3000,3
2841613,5,58,34,D,F,Scottish,C Scotland,Silver,3050,11
6610109,5,48,31,D,U,South East,London,Tin,0.01,5
7994269,15,NA,41,E,F,Midlands,East,Silver,0.02,NA
7926955,7,68,41,E,M,South East,S & S East,Gold,15000.01,6
3194984,3,46,37,E,F,South East,London,Gold,6000,5
7788707,9,37,NA,NA,M,Midlands,Ulster,Gold,10000,11
5450363,11,NA,32,D,U,Midlands,Wales & West,Silver,5000,5
7049724,4,62,8,B,U,Midlands,Midlands,Silver,5000,5
8322971,5,74,22,C,U,North,N East,Gold,6000,1
969011,5,52,NA,NA,F,South East,S & S East,Tin,0.01,5
721469,8,64,25,C,F,South East,London,Gold,12000,2
2530065,8,67,25,C,NA,South East,London,Gold,10000.01,2
2339332,17,NA,1,A,F,South East,London,Silver,1000,13
7936154,7,70,5,B,F,South East,S & S East,Gold,12000,2
6852088,8,52,51,F,F,Midlands,Wales & West,Gold,6000,2
2589461,8,NA,25,C,F,Scottish,C Scotland,Gold,6000,2
8571478,8,43,32,D,F,South East,London,Silver,50,10
4732784,4,22,2,A,U,Midlands,Midlands,Gold,6000,3
6865382,8,54,34,D,M,Scottish,C Scotland,Gold,12000,8
7025473,5,54,18,C,F,South East,S & S East,Silver,1000,2
5461621,7,78,NA,NA,F,Midlands,Ulster,Silver,1250,5
754211,8,50,29,D,F,South East,London,Silver,50,8
6273518,8,66,NA,NA,F,Midlands,Ulster,Silver,500,8
7470332,6,NA,53,F,M,Midlands,East,Gold,6000,2
8236687,8,55,24,C,M,South East,London,Silver,1000,5
947416,8,52,38,E,M,Scottish,C Scotland,Tin,0.01,4
5064903,7,39,4,A,F,South East,London,Tin,0.01,7
3515379,5,72,4,A,U,Midlands,Midlands,Gold,6000,2
1998612,8,71,4,A,F,South East,London,Platinum,23425,4
1057694,14,52,27,D,F,South East,London,Gold,7017.55,5
2233697,6,NA,44,E,F,Midlands,Midlands,Silver,2000,27
9994911,18,37,25,C,F,Midlands,Midlands,Silver,50.01,8
89387,5,72,12,B,U,South East,London,Platinum,32050,12
2391163,6,51,22,C,F,Midlands,Midlands,Silver,3500,27
229027,9,50,52,F,F,South East,London,Silver,5000,4
8445222,13,54,2,A,F,South West,S West,Gold,12078.35,30
6785473,8,73,NA,NA,M,Midlands,Ulster,Gold,6000,6
133620,3,70,24,C,F,Midlands,Wales & West,Silver,3000,11
3424981,10,40,7,B,M,South East,London,Silver,1000,13
8484617,10,57,47,F,M,Midlands,Midlands,Tin,0.01,4
1169962,11,54,12,B,F,Scottish,C Scotland,Silver,360,9
7530934,9,44,13,B,F,South East,London,Gold,6053.35,5
9614723,6,57,35,D,M,North,Yorkshire,Silver,0.02,8
9522657,13,45,52,F,F,Scottish,N Scot,Tin,0.01,4
2218961,9,22,12,B,F,North,N West,Silver,1000,3
2886366,10,44,20,C,U,South East,S & S East,Tin,0.01,5
3450669,NA,65,12,B,M,South East,London,Silver,1526.91,5
8288215,10,52,47,F,U,Scottish,C Scotland,Tin,0.01,5
6712575,5,76,23,C,F,North,Yorkshire,Gold,6000,3
3091729,8,49,25,C,M,South East,S & S East,Tin,0.01,20
6112724,3,59,NA,NA,F,Midlands,East,Gold,12000,4
8726804,10,63,14,B,M,South East,London,Silver,3000,7
7447339,18,41,35,D,F,North,N East,Tin,0.01,5
8599415,8,45,44,E,M,South East,London,Gold,6000,2
8680595,13,64,5,B,M,North,N West,Gold,12000,8
6410303,NA,39,16,C,NA,South East,London,Silver,3850.36,8
8369449,5,46,32,D,NA,Midlands,Wales & West,Silver,480,5
9333757,12,68,16,C,F,North,N West,Silver,2000,31
2099805,10,NA,38,E,F,South East,S & S East,Gold,6053.35,6
8383802,7,36,12,B,F,South East,London,Silver,3000.01,8
3465304,17,43,37,E,F,Midlands,Wales & West,Silver,3026.67,6
82958,6,45,31,D,F,South East,S & S East,Tin,0.01,10
5167171,10,44,24,C,M,Midlands,Wales & West,Silver,500,9
7385262,3,51,28,D,M,North,N West,Tin,0.01,5
4145630,5,67,10,B,NA,North,N West,Gold,6000,2
5327947,11,59,24,C,F,South West,S West,Gold,10213.66,5
6302573,6,69,24,C,M,Midlands,Midlands,Gold,12105.32,12
2623364,6,67,23,C,M,North,Yorkshire,Silver,1200,4
828447,9,74,23,C,F,Midlands,Midlands,Gold,11605.32,12
2568028,8,49,34,D,F,South East,London,Tin,0.01,8
1287495,7,68,44,E,M,North,Yorkshire,Tin,0.01,12
5176701,10,64,10,B,M,Scottish,C Scotland,Gold,5100,11
9609827,8,39,44,E,NA,South East,London,Silver,5000,1
6251352,10,62,27,D,F,North,Yorkshire,Gold,6053.35,5
9673003,7,50,49,F,M,Midlands,Midlands,Silver,4198,1
6309593,6,39,9,B,F,North,N East,Tin,0.01,7
4100549,9,67,5,B,M,NA,NA,Gold,6000,1
7965930,8,53,44,E,U,South East,London,Gold,6000,1
5687159,12,53,51,F,F,Midlands,East,Tin,0.01,5
1656270,11,63,15,B,F,North,Yorkshire,Gold,19000,12
2330360,22,30,49,F,F,South East,London,Silver,1750,4
4043286,7,40,16,C,M,Midlands,Wales & West,Tin,0.01,4
9491591,7,23,4,A,F,North,N West,Silver,1000,5
5636600,5,58,1,A,NA,North,N East,Tin,0.01,NA
4908643,8,57,4,A,NA,South East,London,Platinum,25000,1
6697739,10,35,25,C,M,South East,London,Tin,0.01,8
1872594,8,42,51,F,F,NA,NA,Tin,0.01,5
3900780,17,33,18,C,U,South East,S & S East,Silver,5000,1
4594824,6,71,52,F,NA,Scottish,Border,Gold,12000,2
2695649,7,54,16,C,M,Midlands,Wales & West,Silver,4500,11
6496793,16,37,50,F,F,South East,S & S East,Tin,0.01,8
7787017,3,58,4,A,M,North,N West,Silver,3000,2
6344585,8,45,44,E,NA,Midlands,Midlands,Tin,0.01,10
3176672,7,72,23,C,F,South East,S & S East,Platinum,26053.35,8
7963611,10,53,27,D,NA,Scottish,N Scot,Silver,1500,5
3247305,14,70,50,F,M,Midlands,East,Platinum,20294.5,3
6133698,14,56,52,F,U,South East,London,Gold,6000,2
3322931,NA,54,3,A,F,South East,London,Silver,4884.25,8
4315596,5,68,22,C,F,North,N East,Silver,1500,9
5117277,10,56,12,B,F,Midlands,Wales & West,Gold,9000,1
